pair_id,model,prompt,resp_row,ref_row,kind,domain,note,P_raw,R_raw,F1_raw,P_rescaled,R_rescaled,F1_rescaled
1,ChatGPT,Zero-shot,2,2,correct,Mathematics,,0.9074483,0.81090355,0.85646373,0.45071268,-0.12219479,0.1495369
2,ChatGPT,Zero-shot,2,243,permuted_global,Mathematics,,0.8629992,0.7935971,0.82684433,0.18691072,-0.22490007,-0.02596023
3,ChatGPT,Zero-shot,2,17,permuted_domain,Mathematics,,0.8916278,0.8206805,0.85468435,0.3568192,-0.06417338,0.13899395
4,ChatGPT,Zero-shot,3,3,correct,Mathematics,,0.9697298,0.9697298,0.9697298,0.82034856,0.8203611,0.8206467
5,ChatGPT,Zero-shot,3,153,permuted_global,Mathematics,,0.8086548,0.7769227,0.79247123,-0.13561924,-0.32385448,-0.22962344
6,ChatGPT,Zero-shot,3,8,permuted_domain,Mathematics,,0.87459457,0.8047883,0.8382406,0.25572833,-0.15848584,0.04156363
7,ChatGPT,Zero-shot,4,4,correct,Mathematics,,0.9306302,0.82875216,0.8767415,0.5882956,-0.016272029,0.26968437
8,ChatGPT,Zero-shot,4,230,permuted_global,Mathematics,,0.7964098,0.8070128,0.8016762,-0.20829237,-0.1452845,-0.17508322
9,ChatGPT,Zero-shot,4,15,permuted_domain,Mathematics,,0.84082127,0.8168044,0.82863885,0.055286374,-0.08717608,-0.015327582
10,ChatGPT,Zero-shot,5,5,correct,Mathematics,,0.8885291,0.8235967,0.85483164,0.33842885,-0.046867065,0.13986662
11,ChatGPT,Zero-shot,5,88,permuted_global,Mathematics,,0.78349054,0.8444346,0.8128218,-0.28496712,0.07679568,-0.10904476
12,ChatGPT,Zero-shot,5,20,permuted_domain,Mathematics,,0.79008543,0.81187737,0.80083317,-0.24582691,-0.11641564,-0.18007834
13,ChatGPT,Zero-shot,6,6,correct,Mathematics,,0.89170533,0.902418,0.89702964,0.35727942,0.42089874,0.38989294
14,ChatGPT,Zero-shot,6,97,permuted_global,Mathematics,,0.8091491,0.7829881,0.7958537,-0.1326856,-0.28785947,-0.20958221
15,ChatGPT,Zero-shot,6,3,permuted_domain,Mathematics,,0.88336694,0.83698237,0.85954934,0.3077917,0.03257023,0.16781938
16,ChatGPT,Zero-shot,7,7,correct,Mathematics,,1.0,1.0,1.0,1.0,1.0,1.0
17,ChatGPT,Zero-shot,7,199,permuted_global,Mathematics,,0.8542231,0.79001594,0.8208659,0.13482507,-0.24615254,-0.06138273
18,ChatGPT,Zero-shot,7,11,permuted_domain,Mathematics,,0.88031125,0.79509306,0.8355349,0.2896564,-0.2160223,0.025531845
19,ChatGPT,Zero-shot,8,8,correct,Mathematics,,0.8858068,0.7876576,0.83385396,0.32227206,-0.260148,0.015572323
20,ChatGPT,Zero-shot,8,301,permuted_global,Mathematics,,0.8844984,0.86430943,0.87428737,0.31450692,0.19474295,0.25514328
21,ChatGPT,Zero-shot,8,16,permuted_domain,Mathematics,,0.8859428,0.8214239,0.85246426,0.32307932,-0.059761733,0.12583973
22,ChatGPT,Zero-shot,9,9,correct,Mathematics,,0.92405736,0.88141304,0.9022315,0.54928625,0.2962445,0.42071444
23,ChatGPT,Zero-shot,9,239,permuted_global,Mathematics,,0.8127525,0.8202052,0.81646186,-0.1112997,-0.06699398,-0.08747716
24,ChatGPT,Zero-shot,9,19,permuted_domain,Mathematics,,0.832024,0.8280308,0.8300226,0.0030751403,-0.020552801,-0.0071289274
25,ChatGPT,Zero-shot,10,10,correct,Mathematics,,0.917501,0.9180996,0.9178002,0.51037455,0.51396114,0.51295996
26,ChatGPT,Zero-shot,10,256,permuted_global,Mathematics,,0.80408394,0.81776,0.81086427,-0.16274683,-0.081505165,-0.1206433
27,ChatGPT,Zero-shot,10,2,permuted_domain,Mathematics,,0.8447725,0.8347359,0.8397242,0.078736745,0.01923836,0.050353833
28,ChatGPT,Zero-shot,11,11,correct,Mathematics,,0.8130619,0.7695287,0.7906965,-0.109463386,-0.3677343,-0.24013883
29,ChatGPT,Zero-shot,11,380,permuted_global,Mathematics,,0.83301127,0.7577419,0.79359585,0.008934638,-0.43768296,-0.22295998
30,ChatGPT,Zero-shot,11,14,permuted_domain,Mathematics,,0.7803539,0.6941932,0.73475623,-0.30358282,-0.8148136,-0.5715891
31,ChatGPT,Zero-shot,12,12,correct,Mathematics,,0.8295097,0.7967408,0.81279504,-0.011847055,-0.20624395,-0.10920333
32,ChatGPT,Zero-shot,12,112,permuted_global,Mathematics,,0.79760474,0.7862539,0.7918886,-0.20120041,-0.2684782,-0.23307559
33,ChatGPT,Zero-shot,12,13,permuted_domain,Mathematics,,0.85565984,0.8204539,0.83768713,0.1433522,-0.065518245,0.03828417
34,ChatGPT,Zero-shot,13,13,correct,Mathematics,,0.953789,0.9524347,0.95311135,0.7257412,0.71772337,0.72218126
35,ChatGPT,Zero-shot,13,73,permuted_global,Mathematics,,0.822912,0.8244842,0.8236973,-0.05100389,-0.04160011,-0.044606473
36,ChatGPT,Zero-shot,13,12,permuted_domain,Mathematics,,0.865176,0.85079557,0.85792553,0.19983,0.114544794,0.1581982
37,ChatGPT,Zero-shot,14,14,correct,Mathematics,,0.8625505,0.7862567,0.8226384,0.1842477,-0.26846194,-0.05088075
38,ChatGPT,Zero-shot,14,350,permuted_global,Mathematics,,0.77043426,0.85434926,0.8102248,-0.36245513,0.1356342,-0.12443238
39,ChatGPT,Zero-shot,14,10,permuted_domain,Mathematics,,0.8029648,0.84138507,0.82172614,-0.16938883,0.05869808,-0.056285895
40,ChatGPT,Zero-shot,15,15,correct,Mathematics,,0.8748522,0.8079971,0.84009665,0.25725725,-0.1394431,0.052560743
41,ChatGPT,Zero-shot,15,69,permuted_global,Mathematics,,0.8536396,0.8779783,0.86563796,0.13136221,0.27586114,0.20389488
42,ChatGPT,Zero-shot,15,18,permuted_domain,Mathematics,,0.8417191,0.77336395,0.80609506,0.060614895,-0.34497392,-0.14890121
43,ChatGPT,Zero-shot,16,16,correct,Mathematics,,0.9838387,0.9666132,0.97514987,0.9040838,0.8018655,0.85276115
44,ChatGPT,Zero-shot,16,53,permuted_global,Mathematics,,0.7844215,0.83281076,0.80789214,-0.27944192,0.007813771,-0.13825338
45,ChatGPT,Zero-shot,16,7,permuted_domain,Mathematics,,0.8430525,0.9030991,0.8720434,0.068528615,0.42494076,0.24184743
46,ChatGPT,Zero-shot,17,17,correct,Mathematics,,0.76317847,0.79002964,0.7763719,-0.4055177,-0.24607119,-0.3250132
47,ChatGPT,Zero-shot,17,339,permuted_global,Mathematics,,0.8221806,0.82226616,0.82222337,-0.055344388,-0.054763254,-0.053339817
48,ChatGPT,Zero-shot,17,4,permuted_domain,Mathematics,,0.7514928,0.7367803,0.7440638,-0.47487125,-0.56208,-0.5164411
49,ChatGPT,Zero-shot,18,18,correct,Mathematics,,0.89898777,0.8289392,0.8625436,0.40050012,-0.015162041,0.18556048
50,ChatGPT,Zero-shot,18,107,permuted_global,Mathematics,,0.80394113,0.8191726,0.81148535,-0.16359441,-0.0731219,-0.11696336
